id,userid,name,date,location,tweet,label
1588797048140488705,1507714518088306691,LuyangMamaknya,Sat Nov 05 07:35:09 +0000 2022,,"@aulmaulidiana Seringgg wkwk... dulu pas pandemi, aku takut banget nilai ku ga mencukupi dan gagal lulus. Terus aku doa"" ya allah, semoga tahun ini aku lulus."" Ga taunya aku lulus wwkwkwk.",N
1588793439218733057,1074960713716719616,HariyantoStmm,Sat Nov 05 07:20:48 +0000 2022,,"@na_inblack Sedih. Secara saya juga mengalami hal yang sama th 2020, karena efek pandemi.",Y
1588790368019283968,1442427358854533120,CingGaronk89,Sat Nov 05 07:08:36 +0000 2022,,RT @ahdahni: @ProfesorZubairi Mana ada covid. Kopat kopit kopat kopit. Capek gara2 isu kopit banyak orang mati karena obat.,Y
1588789522053345281,1406854570525945859,Akashisedai_,Sat Nov 05 07:05:14 +0000 2022,,"@alexanzro @katteeeng @ridwanmuhammady Super setuju. Band nya atraktif, penontonnya cooperative jadi sama-sama enak, nyaman, rapi, tertib, puas. Aduh kapan sih OOR ke Indo lagiii.... sedih banget pas mau ke Jakarta kemaren konsernya ditunda gara2 covid padahal udah dapet tiket hiks",N
1588782862312280064,1292005454315261952,Winda_wt10,Sat Nov 05 06:38:47 +0000 2022,Indonesia,RT @Semut2Semut: Tetap Waspada Corona msh ada 10 gejala Omicron XBB (dari situs CDC)  -Demam/menggigil -Batuk -Sesak napas/napas singkat -B…,N
1588782386674040833,1426039065766338562,fvcksynkills,Sat Nov 05 06:36:53 +0000 2022,,"RT @satriyotutuko: @CNNIndonesia Habis vaksin malah daya tahan tubuh melemah, gampang sakit. Yg gak vaksin sama sekali, malah daya tahan tu…",N
1588777390876286976,1201741859640397824,giberakata,Sat Nov 05 06:17:02 +0000 2022,,"RT @wahananewsdotco: Perayaan Diwali di India Dihadiri Jutaan Orang, Pemerintah Khawatir Lonjakan Covid-19 https://t.co/KO1iya6FIG #Diwali…",N
1588777294495375360,1571797317661110272,pande860,Sat Nov 05 06:16:39 +0000 2022,,"@KompasTV Pak sampean udah tua, mendingan bapak habisin wkt sama keluarga dr pada ngurusin covid,, masyarakat sdh cukup capek dgn semua kbijakan2 yg sama sekali g bergihak KPD rakyat..",N
1588777264556441601,1124517245722349568,wahananewsdotco,Sat Nov 05 06:16:32 +0000 2022,Jakarta,"Perayaan Diwali di India Dihadiri Jutaan Orang, Pemerintah Khawatir Lonjakan Covid-19 https://t.co/KO1iya6FIG #Diwali #PerayaanDiwali #India #Covid19",N
1588774620408467457,1531957411732258816,puduchanspace,Sat Nov 05 06:06:02 +0000 2022,,"Masih sedih banget, selama setelah w1 bubar gue ga stan apa2 healingnya ke drama karna gue line 94 ngebiasin group kpop skrg udah kemuda2an jadi kaya gimana gitu. But ended dengan corona, for 2 years do nothing di rumah pake masker kemana2 ga bebas, ditambah ada musibah keluarga",Y
