id,userid,name,date,location,anotator,entitas,sentimen,label_kombinasi,tweet
1.66E+18,107746617,Liononthetable,Sun May 07 10:43:43 +0000 2023,"DKI Jakarta, Indonesia",fauzi,anies,n,a_n,  demikian dia sesumbar tapi kita semua tau itu hanya kelakar jejak digitalnya yang mengakar hanya tata kata saja dia pintar
1.66E+18,1.46E+18,belogrunge_deni,Mon May 08 06:29:11 +0000 2023,,fauzi,anies,n,a_n,  Jangan samakan Pilpres 2024 dengan Pilkada DKI wahai gerombolan @PKSejahtera sudah saatnya gerombolan kalian ditenggelamkan yang bersembunyi dibalik jubah demokrasi
1.66E+18,1.23E+18,MasBroJowoNKRI,Tue May 09 06:46:49 +0000 2023,,fauzi,anies,n,a_n,"""Ketidaksuksesan Anies membangun DKI tidak dapat menjadi contoh untuk membangun Indonesia di masa depan. Jangan diberi amanah dlm pemilu 2024"" "
1.66E+18,8.30E+17,Ariefkasam2,Mon May 08 04:07:15 +0000 2023,"Kota Tangerang, Banten",fauzi,anies,n,a_n,@03__nakula Sudah di ingatkan jangan di kaitkan dg pilpres malah Anies pamer dan minta di doa kan agar jadi presiden . Pekok sudah mendarah daging
1.66E+18,1.61E+18,dayana47631052,Tue May 09 11:48:57 +0000 2023,,fauzi,anies,n,a_n,@AbdulA77995 @bengkeldodo trus apa jaminannya MISALKAN Anies menangi pilpres keadaan negara akan lebih baik dari skrg? jaminannya apa? memang dia mau mundur di tengah jalan kalo janji kampanyenya tak terealisasi dimasa jabatannya nanti?
1.65E+18,408884178,thekangju,Sat May 06 10:27:30 +0000 2023,Temanggung,fauzi,anies,n,a_n,"@abu_waras @Dennysiregar7 Kali ini ini saya setuju sama sampean, tapi soal pilpres saya ga nyoblos Anis."
1.66E+18,3093130284,inthuliaster,Wed May 10 02:14:08 +0000 2023,,fauzi,anies,n,a_n,@abu_waras Kadrun mah ujung2 nya kalo anies kalah jadi presiden berarti pemilu curang😁😁😁
1.65E+18,1.19E+18,muttaqien1962y1,Fri May 05 13:14:17 +0000 2023,,fauzi,anies,n,a_n,@abu_waras Saya yakin kalau Anies memenangkan Pilpres 2024 so pasti dia akan cari suaka politik ke Timor Leste. Karena kalau tidak maka jadi bancakan para Kadrun🤣🤣🤣
1.66E+18,831331483,gatotprayoga2,Sun May 07 04:29:29 +0000 2023,Bontang.,fauzi,anies,n,a_n,"@AbukhaliefR @PDemokrat @aniesbaswedan @PKSejahtera @NasDem Tetap bersatu demi "" NKRI "" tak ada tempat bagi penyamun imigran gelap yamen &amp; kadrun sesat .. !!  Aq akan coblos saat pilpres 2024 "" yang penting bukan Anies "" menjijikan orang itu ... "
1.66E+18,1.44E+18,Putra01Yohanes,Mon May 08 02:36:43 +0000 2023,"Kalimantan Barat, Indonesia",fauzi,anies,n,a_n,"@AgusYudhoyono saya dan seluruh keluarga serta teman-teman mendukung NASDEM &amp; DEMOKRAT dalam pilpres dan pilek di tahun 2024 Namun setelah pendeklarasian ANIES kami stop tidak akan memberikan dukungan, sebab Anes cuma bisa bicara dan rangkaikan kata-kata namun tidak untuk bekerja,"
1.66E+18,1.36E+18,jamesriyadee,Tue May 09 05:39:43 +0000 2023,,fauzi,anies,n,a_n,"@AhmadFa00087360 @bayu_adianto @ekowboy2 @musniumar @HelmiFelis_ @AndiSinulingga @bachrum_achmadi @abu_waras @Yurissa_Samosir @Mdy_Asmara1701 @sutanmangara Beda konteks om. 2017 ruang lingkup cuma DKI, lawannya cina dan non muslim, plus ada isu SARA.   Lah pilpres nanti ruang lingkup 1 indonesia, lawan si anies 22nya jawa + muslim pula. Jangan lupa, basis partai mereka kuat2.  Sulit anies menang klo di posisi saat ini."
1.66E+18,1.57E+18,e_ernandar,Mon May 08 16:11:00 +0000 2023,,fauzi,anies,n,a_n,@ahmadkdafi @KompasTV G usah di buktiin orang semua sudah pada tau anke gagal dan g bisa kerja. Dan gini aja luh kan penduduk anis kita liat di pilpres menang apa g
1.66E+18,2855803759,Tukanglas_plg,Sun May 07 11:17:28 +0000 2023,,fauzi,anies,n,a_n,@ainunnajib Dikisahkan bahwa anis tumbang diputaran pertama.Tampak kesan pencampresan anis hanya ikut pilpres sebagai penggembira saja.Memang kapasitas anis tidak sebesar 2 calon lain.Perlu jam terbang lebih banyak lagi sbg politisi maupun birokrat.
1.65E+18,712468759,Trieszeguet,Sat May 06 13:48:18 +0000 2023,Makasar,fauzi,anies,n,a_n,"@ainunnajib Politik indentitas itu bagian dari Rekam Jejak anies yg tdk bisa dilupakan, karena anies sendiri masih menyatakan politik identitas tdk bisa terhindarkan pada Moment Pemilu."
1.66E+18,1.27E+18,MatJohar3,Tue May 09 04:48:36 +0000 2023,,fauzi,anies,n,a_n,"@alisyarief Anies itu siapa ?,yg mau jegal itu siapa ?,di semua survei pilpres saja kalah. Kalian bahasanya menjadi yg tersakiti tujuanya mencari simpati rakyat."
1.66E+18,1.63E+18,PutraPe24992947,Sun May 07 14:23:34 +0000 2023,,fauzi,anies,n,a_n,"@alisyarief Kata siapa anies tak pusing?, gak pusing kok oposan ngedumel lihat pak Jkw merangkul banyak partai?, Pilgub jangan samakan dgn Pilpres cuy."
1.66E+18,1.60E+18,Zyan1378,Mon May 08 03:10:12 +0000 2023,,fauzi,anies,n,a_n,@alisyarief Lembaga survey sdh akurat tapi anies pakai cara2 licik menggunakan islam sbg tunggangan. nanti di pilpres dia Kn menggunakan hal yg sama akan terjadi chaos adu domba sesama muslim.
1.66E+18,1.60E+18,Tohid_siswanto,Mon May 08 06:06:21 +0000 2023,"DKI Jakarta, Indonesia",fauzi,anies,n,a_n,@alisyarief Pilkada DKI bukan Pilpres BOTAK..  Menangnya anies saat pilkada juga banyak faktor yg mempengaruhi suara Ahok  Ini salah satu faktanya BOTAK 
1.66E+18,1.61E+18,JJhonpres,Tue May 09 04:18:05 +0000 2023,,fauzi,anies,n,a_n,@AlvredoBadhar @musniumar Lihatlah Mulutnya @musniumar Nampak Sekali Ada Kebohongan Dalam Bicaranya .           Entar Seandainya Anies Kalah Di Pilpres Nanti .     Pasti Dia Bilang Ada Kecurangan ....     Sudah Profesor Palsu ...    Mulut Palsu Pulak ?         Mus Jangan Banyak2 Menjilat ?
