id,userid,name,date,location,tweet,label
1647961774228905985,1509584227490484226,swevenile,Mon Apr 17 13:54:39 +0000 2023,cyber,"tadi pas pulang liat ada angakot yg dikasih garis polisi, kirain ada kecelakaan ternyata ada yg meninggal...kaget banget mana mayatnya masih ada disitu, hanya aku ga liat",positif
1647961736870342656,1447095337173221377,ketmeong,Mon Apr 17 13:54:30 +0000 2023,rumah ortu,@aphin123 Kan Anda polisi nya Pak 😀,negatif
1647961337593561095,1612339431058591745,RafaelAditiya8,Mon Apr 17 13:52:55 +0000 2023,,"@kompascom Harusnya di dukung kok malah dilapokan ke polisi payah kalau ngnggak mau d kritik harusnya malu yg melapor,ngnggak bisa maju daerah kalau macam itu,jalan trs tiktoker semangat trs",positif
1647961110656720896,798918905737539586,gntalorenzky23,Mon Apr 17 13:52:01 +0000 2023,M I N A N G K A B A U,"@Midjan_La_2 Patahin dong kaki nya, baru serahkan k polisi.",negatif
1647960992779997184,1248085066321780736,Hendi74370131,Mon Apr 17 13:51:32 +0000 2023,Indonesia,"@KAI121 Polisi kereta dan petugas tiket lebih sering keliling etika akan dan telah melewati stasiun besar, agar penumpang juga taat akan penggunaan kursi sesuai tiketnya #MudikNaikKereta",positif
1647960394831372289,916024088182669312,jandakembang78,Mon Apr 17 13:49:10 +0000 2023,"City of London, London","@geloraco sudah banyak contoh kalau Islam minoritas disitu banyak pelanggaran HAM nya. Disitu padahal dikawal polisi, polisi nya ble ek juga https://t.co/ULOA4hsYvN",negatif
1647960387437080576,1103314789470625793,erindwynd,Mon Apr 17 13:49:08 +0000 2023,"Bengakulu, Indonesia","@Bams27735590 Berani sama yang lemah, sama koruptor, pelaku pembunuhan  sambo cs dan cukung besar perusak alam ngga berkutik. memperburuk citra kepolisian karena tak memanusiakan manusia. tindak tegas polisi yang melanggar HAM dak etika kepolisian @polisi daerahbengakulu  @ListyoSigitP @KomnasHAM",negatif
1647960121325285377,1614068500603207680,DonyIra45939737,Mon Apr 17 13:48:05 +0000 2023,,"@an_ti_ka_drun Inilah sosok Negarawan Sejati lain dng Junjungan mu Bong,cebong.Junjungan mu kalau di kritik masukin Penjara.Kalah Debat Lapor Polisi dasar otak Dungu kamu bong,bong.",negatif
1647959871117991936,19060196,Mr_Eduardus,Mon Apr 17 13:47:05 +0000 2023,Jakarta,@kilalayu5 @B2WIndonesia sudah pernah lewat situ bro? Di daerah situ emang polisi tidur nya sudah banyak banget loh. Ya skrg mereka terganggu karena jalan pemukiman jadi akses utama.,positif
1647959858673602567,1386305894376300549,starsIeaders,Mon Apr 17 13:47:02 +0000 2023,"Hokkaidō, Japan","@powerofdrexms ""Oh..."" Padahal dari pengakuannya tadi, dia melihatnya diselamatkan oleh polisi, kan? Sedikit heran, tapi gapapa.  ""Ya sudah. Yuk."" Ia juga tidak ingat kalau ayahnya punya adik.",positif
1647959835747516419,538993594,HuntSizer,Mon Apr 17 13:46:57 +0000 2023,"Bekasi, Jawa Barat","randomly mikir,   kalau nemu polisi di jalan, seringakali pangakatnya itu binantia, ngnggak pernah ketemu yg tamtama  tapi kalau ketemu tni dijalan seringnya yg pangakatnya tamtama, ngnggak pernah nemu yg binantia  ini mereka strategi rekrutmen-nya beda atau gimana yak",positif
1647959608462557184,91522670,samayosi21,Mon Apr 17 13:46:02 +0000 2023,yogyakarta,Aneh d kritik warga sendiri kok lapor polisi https://t.co/XhUZSreMoc,positif
1647959255398621185,1635862509201805312,PakRoy453165598,Mon Apr 17 13:44:38 +0000 2023,,@FaGtng @DivHumas_polisi RI Keren pk polisi,positif
1647958952997703680,223403952,ARRI_UWO,Mon Apr 17 13:43:26 +0000 2023,,@idextratime Apakah Hubner mnt jadi PNS atau polisi kalau dah pensiun jadi atlet?,negatif
1647958828909056004,1097755917662081024,trisnoargo,Mon Apr 17 13:42:57 +0000 2023,"Semarang, Jawa Tengah",@Stev3n_Peg3l Pukul balok aja br laporkan polisi,negatif
1647958484623712259,76842706,MutiRmdhni,Mon Apr 17 13:41:34 +0000 2023,,"@sarita103 coba perpanjang di kantor polisi yg deket Humble House deh Sar, aku ga sampai sejam sudah kelar dan no pungli",positif
1647958434896314369,1462826869741342724,sarantjana,Mon Apr 17 13:41:23 +0000 2023,they/she/he,@wuyomeow mang aku polisi,negatif
1647958397134995457,1520766316755316736,Tikoslumbanraja,Mon Apr 17 13:41:14 +0000 2023,,@detikcom ia  ini polisi ngaco aturannya harusnya diperbanyak jln alternatif bukan di tutup. semua jln polisi ngaco,negatif
1647958210375217152,1264493769946042369,ladilbolala,Mon Apr 17 13:40:29 +0000 2023,,@Mintchocoaja Polisi apa loh😞,positif
1647957913259089920,1603887065124724737,yeodungs,Mon Apr 17 13:39:18 +0000 2023,00z // atiny only,Ini kenapa ya solo tiap jam sepertinya ada sirine ga tau polisi atau ambulans deh tuh ._.,positif
1647957838227185664,1333999635388534784,goo_miko,Mon Apr 17 13:39:00 +0000 2023,,@CNNIndonesia Yg potong2 leher org asli Papua ini su ada tersangkanya kah belum? Yg benar2 salah dianggap maen2 yg maen2 dibikin jadi salah 🤣  Polisi rusak sejak jaman Jokowi https://t.co/0nggakoHz7MfW,negatif
