ID,sentiment,date,name,tweet,location
1587776283429191690,negative,Wed Nov 02 11:59:00 +0000 2022,cocoblogger,Rupiah Kembali Anjlok Jelang Pengumuman Kebijakan Moneter The Fed https://t.co/EMiwcPfCx2,"Kota Malang, Jawa Timur"
1587755918950862849,negative,Wed Nov 02 10:38:04 +0000 2022,aktualofficial,Rupiah Kembali Anjlok Jelang Pengumuman Kebijakan Moneter The Fed https://t.co/hdAI3DOQbE,Indonesia
1587632657827254272,negative,Wed Nov 02 02:28:17 +0000 2022,Muadz38588306,Apa yg harus dibanggakan ... Rupiah anjlok ke masa krismon kembali ??? https://t.co/lnAsMG0Dd6,
1587631548110864384,negative,Wed Nov 02 02:23:52 +0000 2022,Muadz38588306,Dikala Rupiah Anjlok hampir 16rb/dollar nya ????? https://t.co/WxV57Oj72V,
1587622121953320960,negative,Wed Nov 02 01:46:25 +0000 2022,benji_inaUS,"@KompasTV Inggris,Ekonomi ambruk nilai poundsterling jatuh, PM mundur. Indonesia, ekonomi ambruk, cabut subsidi,sembako naik,rupiah anjlok, presiden pidato ekonomi membumbung tinggi😳😎","Bali, Indonesia"
1587377748527325185,negative,Tue Nov 01 09:35:21 +0000 2022,meliharaha,"RT @medcom_id: Makin Tak Berdaya, Rupiah Ditutup Anjlok ke Rp15.628/USD https://t.co/nMwc36imBt",
1587364001385615360,negative,Tue Nov 01 08:40:44 +0000 2022,medcom_id,"Makin Tak Berdaya, Rupiah Ditutup Anjlok ke Rp15.628/USD https://t.co/nMwc36imBt","Jakarta Capital Region, Indone"
1587332059756101634,negative,Tue Nov 01 06:33:48 +0000 2022,mxtunemusics,@keuangannews_id Kalo jaman orba rupiah anjlok karena krisis pemimpinnya digulingkan! Kalo skrg rupiah anjlok karena krisis mbok ya mohon dimaklumi.. yo namanya juga lg krisis kan katanya~,"San Francisco, CA"
1587309198378835968,negative,Tue Nov 01 05:02:58 +0000 2022,jamgitar,"@JokoWah33372742 @MensosJ @OposisiCerdas Heleh, janji selangit kok yg di banggakan minimalnya. Jadi rakyat otaknya isi kontol ya gini. Rupiah anjlok hampir 16rb tuh, dulu katanya 10rb taiii",Indonesia
1587217813676388352,negative,Mon Oct 31 22:59:50 +0000 2022,AlbertSolo2,"RT @AlbertSolo2: Rupiah kembali di tutup melemah terhadap Dollar Amerika, pada pembukaan perdagangan Senin kemarin, mata uang bekas jajahan…","Surakarta, Jawa Tengah"
1587217780184854529,negative,Mon Oct 31 22:59:42 +0000 2022,AlbertSolo2,"Rupiah kembali di tutup melemah terhadap Dollar Amerika, pada pembukaan perdagangan Senin kemarin, mata uang bekas jajahan Belanda tersebut, di tutup di angka Rp.15.600 per satu Dollar Amerika serikat.selain Rupiah yang anjlok,Yen Jepang juga anjlok terhadap Dollar Amerika","Surakarta, Jawa Tengah"
1587058907775918080,negative,Mon Oct 31 12:28:24 +0000 2022,NoWBrian,"Suatu tokoh yang entah gimana bisa terkenal: ""Negara harus cetak uang terus bagi2 ke rakyat."" me: lah inflasi dong pak, ilmu dasar aja deh rupiah jadi gak berharga (jangan2 si dia punya banyak dollar terus ntar pas anjlok dituker jadi tambah kaya) https://t.co/VnHp4dW8qq",Indonesia
