,username,tweet,waktu,sentiment,Topik
0,@dedepikacuuu,"Munculnya kemasan galon sekali pakai ini menjadi mengkhawatirkan bagi penyelesaiaan masalah sampah di Indonesia 
#tolakgalonsekalipakai",2021-12-16T15:44:18.000Z,negatif,Sampah
1,@rifqiharrys,"Larangan buang sampah di Indonesia sebaiknya ditulis dalam Bahasa Arab.

Jadi,

buang sampah sembarangan = penistaan",2018-08-29T07:28:04.000Z,positif,Sampah
2,@YukBSPT,Selamat pagi. Dukung Partai/Caleg/Presiden yg punya program yang jelas dlm pengelolaan #sampah di #Indonesia. #YukBSPT #IniAksiku,2014-04-07T00:25:05.000Z,positif,Pengelolaan Sampah
3,@furqon___,"Pengelolaan sampah di indonesia itu masuk 35 terburuk pengelolaan sampah di dunia loh, berdasarkan beberapa sumber",2017-05-15T13:35:23.000Z,negatif,Pengelolaan Sampah
4,@NganjukBoys,"Dari banyaknya sampah di indonesia itu brp % nya bersumber dari popok, spt nya pemerintah hrs mulai memikirkan nih agar popok kain lebih di utamakan drpd popok sekali pke, klo bs dilarang aja produksinya",2020-01-30T03:31:14.000Z,positif,Kebijakan Pemerintah
5,@kotabasingse,Ini emosi numpuk uda kayak gunung sampah di indonesia,2019-09-09T11:46:01.000Z,positif,Sampah
6,@baang_fer,"Baru tau ""@polinomsetia: Tahukah teman sampah di indonesia 60 % sampah plastik ?""",2013-08-27T23:17:15.000Z,negatif,Sampah
7,@Yoginisasi,"Orang luar negri bilang negara kita krisis sampah, padahal kan sampah di indonesia melimpah ",2021-12-15T05:58:51.000Z,positif,Sampah
8,@XLuffy84158122,"Pagi begini, iseng tracking masih bnyk sampah di Indonesia",2022-02-26T22:50:36.000Z,positif,Sampah
9,@LuvNaresKinar,"Inovasi berikutnya dibuat utk menjawab permasalahan sampah di Indonesia, yaitu PLTSa Merah Putih. #HUT41BPPT #BPPTSolidSmartSpeed @bppt_ri",2019-08-21T04:21:38.000Z,negatif,Sampah
10,@perangsipil,"Siapapun presidenya jika bukan
kesadaran dari rakyatnya sendiri masalah sampah di indonesia tidak akan pernah terselesaikan",2019-07-06T06:27:43.000Z,positif,Sampah
11,@AlbianMaulana,"Keren,org negro inggris nyobain jdi tukang sampah di indonesia, yg modern di london (tempat asalnya) sama di indonesia beda jauh #kompasTV",2016-02-27T18:47:29.000Z,positif,Sampah
12,@Rina_syafrianti,Yang masih RAJIN BUANG SAMPAH Sembaranga ! Selamat nanti makin banyak aja pulau2 sampah di Indonesia  oh god.....,2015-01-24T10:04:52.000Z,positif,Sampah
13,@fadly_mellost,"MTMA ""@raacilz: @fadly_mellost kodong, jgn nyampah kak.. Sampah di Indonesia udah banyak hahahahaha""",2015-01-17T01:58:58.000Z,positif,Sampah
14,@YukBSPT,Dari sekian banyak tokoh yg bertarung di #pemilu tdk terdengar pula komitmennya thp pengelolaan #Sampah di #Indonesia gawat! #YukBSPT,2014-03-21T00:03:16.000Z,positif,Pengelolaan Sampah
15,@andirakrst,Tukang sampah dari London aja nangis liat kehidupan tukang sampah di Indonesia. Malu nggak Pak SBY?,2014-02-10T02:11:41.000Z,positif,Sampah
16,@harizbebekk,pemilu itu sampah di indonesia ini. taik kucing.,2014-04-02T17:07:15.000Z,positif,Sampah
