id,date,Sentimen,tweet
1.46683E+18,Fri Dec 03 17:45:35 +0000 2021,negative,"""(Lubang air) dipinggirkan, nanti dibuat mulut-mulut airnya,"" kata Kepala Suku Dinas Sumber Daya Air (SDA) Jakarta Selatan Mustajab saat dihubungi, Jumat (3/12/2021).  ?catet janji  https://t.co/uFXDmDGHQs"
1.46731E+18,Sun Dec 05 01:57:34 +0000 2021,negative,"""Cerdas loh""... bisa bikin  #SumurResapAnggaran tanpa lubang resapan.. penempatan sesuai ilmu terawang... sekarang sumurnya pensiun dini...  sumur pandemi warga Jakarta... gk ada duanya ????????????????? https://t.co/9nJIYF0dAd"
1.4673E+18,Sun Dec 05 01:00:00 +0000 2021,negative,"""Di-nol-kan (anggaran sumur resapan) dari forum Banggar kemarin. Jadinya tidak ada kegiatan lagi untuk sumur resapan,""  #SumurResapAnggaran  https://t.co/HKhXAXWBjy"
1.46745E+18,Sun Dec 05 11:17:38 +0000 2021,negative,"""Ini kesalahan perencanaan pembuatan titik sumur resapan,"" kata Ketua Komisi D DPRD DKI Jakarta Ida Mahmudah. https://t.co/y3kxu6xbbL"
1.4673E+18,Sun Dec 05 01:00:02 +0000 2021,negative,"""Kritik sejumlah pembangunan sumur resapan yang dianggap tidak efektif"". Kata Ketua Komisi D DPRD DKI Jakarta, Ida Mahmudah. Berkaitan hal tersebut, perlu adanya evaluasi dalam pembuatan sumur resapan di Jakarta.  #SumurResapAnggaran https://t.co/V9fmO4e5ha"
1.46694E+18,Sat Dec 04 01:11:23 +0000 2021,positive,"""Prinsip semakin banyak sumur resapan, maka semakin bagus akan sia-sia jika membangun tanpa kajian daya serap tanah dan mempertimbangkan kondisi lapangan."" https://t.co/FWSjk5b2IC"
1.46777E+18,Mon Dec 06 08:00:53 +0000 2021,negative,"""Proyek Tambal Sulam Sumur Resapan Jakarta"", ini judul oke banget?? @kompascom. ????  ""Proyek Tambal Sulam Sumur Resapan Jakarta dan Instruksi Anies - https://t.co/oyc0vSXzP2"" https://t.co/3Cb7H2VI6w"
1.46678E+18,Fri Dec 03 14:54:19 +0000 2021,negative,"""Tiga wilayah yakni Jakarta Timur, Jakarta Utara, dan Jakarta Barat lebih cocok untuk waduk-waduk, sementara Jakarta Pusat dan Jakarta Selatan lebih cocok untuk sumur resapan atau biopori.."" https://t.co/Gp0hcTcFOa"
1.4673E+18,Sun Dec 05 01:15:53 +0000 2021,positive,#banjir sumur resapan DKI Jakarta ? @anandasukarlan https://t.co/C4UFQLqWNk
1.46753E+18,Sun Dec 05 16:22:35 +0000 2021,negative,"#DitanganJokowiRIHancur  Petisi Menunda Sumur Resapan di Jakarta Beredar, Digagas 16 Orang Dokter https://t.co/Vyyn6wMTJG"
1.46557E+18,Tue Nov 30 06:48:30 +0000 2021,negative,#Laporanreporter  Sumur resapan di Jalan Karang Tengah Raya lebak buus Jakarta Selatan amblas dan kerap menyebabkan kecelakaan motor. Reporter RRI (LT)  Selengkapnya di 88.8FM PRO 3 RRI. -AMD
