No,User,Date Created,Tweet,Label,original
4246,PahamFMCGdanTCG,2021-01-07 06:46:44+00:00,"Sumpah mau uji emisi susah banget. @DKIJakarta gimana ya? Ada bengkel yang cuma nerima merk mobil sesuai bengkelnya. Ada bengkel non dealer yang udah terdaftar di aplikasi uji emisi tapi katanya cuma bisa tes, ga bisa keluarin sertfikat.

 Jadi gimana cara dapet sertifikatnya?",N,True
3542,Dickquake,2021-05-05 07:52:21+00:00,@andesshhh @KeeNand__ @ZuAndreas Hush...jangan bahas sampe uji carbonnya..kejauhan..nanti dipikir uji emisi kendaraan..,U,True
2676,ekurnia82,2021-11-04 00:35:29+00:00,@tatakujiyati Maksud saya cara polisi mengetahui klo kita melanggar ga melakukan uji emisi itu seperti apa? Kan klo kendaraan masuk kawasan GAGE kelihatan dari plat nomernya,U,True
4854,AdamBagaskara,2021-11-05 16:59:47+00:00,"@fadhlierlanda @LordCondet @aniesbaswedan @DKIJakarta Gratis. Keknya bagus disitu daripada yang keliling, gue korban prank dari yang digadang-gadang uji emisi gratis awal-awal buset jam sixer UDA ngantri ampe macet Rawamangun padahal jadwal hole 8.",N,False
992,nayerxxx,2021-11-19 05:01:56+00:00,@nadhiramokoagow @Lutfisuprapto @revadyansyah Nad masuk jkt sekarang udah kudu lulus uji emisi yak? MasyaAllah banget aturan2nya wkwk,N,True
2464,Mz_HopeWin,2021-11-04 06:34:13+00:00,@FerdinandHaean3 Kalau motor lama gak lolos uji emisi bagaimana? Ndak boleh jalan harus beli motor model baru yg lolos emisi kah,U,True
4836,Fkresminor7,2021-08-11 23:32:46+00:00,"@NOTASLIMBOY Katanya buatan anak2 smk di solo, nyatanya rebadged foday yg china, bbrp tahun gak jd trus ngeles gak lulus uji emisi, lalu berobah wujud muncul pickup suv masih juga rebadged.

Lesson: orang indonesia gampang di php",P,False
195,bukantaulanyyyy,2022-07-15 16:52:20+00:00,"@FWBESS akun ini bersih kok, coba cek aja. kemarin juga baru abis lolos tes uji emisi",P,True
4830,sikas_purnomo,2021-10-29 12:06:16+00:00,"@DKIJakarta @dinaslhdki @DishubDKI_JKT @TMCPoldaMetro Kalo mau cerdas sini tak ajarin pak, bapak bikin peraturan semua bengkel di wilayah DKI harus bisa melakukan uji emisi dulu.. eceran kasih harga sama tertinggi.. pabrik dulu rakyat melakukan uji emisi.. sama permudah yg ngebul ditutup semua aja itu!",P,False
4293,Ruby_Sky2010,2021-01-04 03:42:29+00:00,"@WulingMotorsID Hi min, di bengkel resmi wuling, bisa test uji emisi ga?",U,True
